Date;Longitude;Latitude;COG;SOG;TWD;TWS;TWA;GWD;GWS;POL;TWA (calc);AWA (calc);AWS (calc);ALARM;OBSERVATIONS
20/11/2025 10:52:38;-1,7910683333;46,4886666667;150,0;4,8;10,2;8,1;-136,0;11,1;8,6;5,5;-134,8;259,0;5,7;Aucune;
20/11/2025 10:53:38;-1,7901716667;46,4876300000;142,0;4,7;12,9;7,4;-125,3;;;5,5;-125,1;270,2;6,0;Aucune;
20/11/2025 10:53:56;-1,7896916667;46,4873316667;120,0;5,3;14,2;8,6;-111,3;12,3;8,9;6,2;-106,8;283,8;8,2;Aucune;
20/11/2025 10:54:04;-1,7894183333;46,4872766667;96,0;5,4;7,2;9,4;-103,0;5,1;9,7;6,7;-96,8;289,7;9,7;Aucune;
20/11/2025 10:54:08;-1,7892766667;46,4872333333;118,0;6,6;11,9;9,4;-98,7;9,6;9,7;6,5;-104,1;296,7;10,4;Aucune;
20/11/2025 10:54:10;-1,7891966667;46,4872233333;96,0;5,7;12,9;9,6;-103,0;10,3;9,8;6,8;-95,1;290,8;10,0;Aucune;
20/11/2025 10:54:28;-1,7886200000;46,4871500000;120,0;5,6;21,5;8,1;-78,7;17,5;7,8;5,5;-89,5;308,0;10,1;Aucune;
20/11/2025 10:55:28;-1,7866666667;46,4863650000;137,0;5,7;25,2;9,5;-105,0;25,1;9,1;6,8;-105,8;290,7;9,8;Aucune;
20/11/2025 10:56:28;-1,7852683333;46,4853466667;138,0;4,8;3,5;9,4;-129,3;2,3;9,7;6,5;-130,5;261,8;7,3;AIS ;
20/11/2025 10:57:28;-1,7839916667;46,4842366667;137,0;4,7;12,2;8,3;-124,0;11,8;8,6;6,0;-122,8;269,9;6,9;AIS ;
20/11/2025 10:58:28;-1,7825966667;46,4831850000;135,0;5,6;5,5;9,5;-130,7;5,3;9,8;6,5;-128,5;262,2;7,3;AIS ;
20/11/2025 10:59:28;-1,7806916667;46,4820250000;136,0;6,4;26,2;10,8;-107,7;;;7,3;-106,8;284,8;10,6;AIS ;
20/11/2025 11:00:28;-1,7790483333;46,4808533333;134,0;5,5;17,2;8,9;-116,0;17,5;9,2;6,4;-114,8;277,9;8,1;AIS ;
20/11/2025 11:01:28;-1,7773833333;46,4796650000;134,0;5,7;17,5;10,3;-116,3;18,7;10,7;7,1;-115,5;275,8;9,3;AIS ;
20/11/2025 11:02:28;-1,7757700000;46,4785200000;133,0;6,2;9,2;10,8;-127,3;8,8;11,2;7,2;-121,8;263,8;8,6;AIS ;
20/11/2025 11:03:28;-1,7739050000;46,4773083333;140,0;6,0;11,2;11,5;-123,7;11,2;11,9;7,6;-124,8;266,4;9,6;AIS ;
20/11/2025 11:04:28;-1,7724833333;46,4760950000;134,0;6,3;7,9;11,7;-127,0;;;7,6;-124,1;264,0;9,4;Aucune;
20/11/2025 11:05:28;-1,7708583333;46,4748083333;135,0;6,9;27,2;12,0;-106,0;;;7,7;-106,8;287,9;12,1;Aucune;
20/11/2025 11:06:20;-1,7698400000;46,4737450000;157,0;4,3;12,2;8,0;-134,3;12,7;8,5;5,5;-133,8;256,5;5,9;AIS ;
20/11/2025 11:07:20;-1,7685500000;46,4724883333;139,0;5,6;16,2;11,7;-122,0;16,8;12,2;7,6;-122,8;267,6;9,9;Aucune;
20/11/2025 11:08:08;-1,7672850000;46,4714616667;169,0;5,4;36,2;11,4;-110,7;35,7;11,9;7,5;-121,8;277,9;10,8;Aucune;
20/11/2025 11:09:02;-1,7667516667;46,4701850000;147,0;5,9;2,2;12,0;-145,3;4,2;12,5;6,8;-140,8;238,6;8,0;Aucune;
20/11/2025 11:10:02;-1,7655866667;46,4690583333;143,0;5,2;6,2;10,3;-133,0;6,4;10,8;6,8;-132,8;254,6;7,8;Aucune;
20/11/2025 11:11:02;-1,7641933333;46,4678516667;137,0;6,4;5,9;10,4;-130,7;;;7,0;-129,1;260,0;8,0;Aucune;
20/11/2025 11:12:02;-1,7628816667;46,4667950000;130,0;6,0;17,5;10,3;-112,0;16,7;10,8;7,1;-109,5;279,6;9,7;Aucune;
20/11/2025 11:13:02;-1,7610666667;46,4657216667;130,0;6,5;22,9;10,0;-108,0;21,2;10,3;7,0;-105,1;284,8;9,8;Aucune;
20/11/2025 11:14:02;-1,7593833333;46,4646483333;138,0;5,1;19,2;9,3;-119,3;;;6,6;-121,8;278,0;8,2;AIS ;
20/11/2025 11:15:02;-1,7578466667;46,4635500000;132,0;6,4;21,2;8,0;-112,3;;;5,9;-109,8;288,9;7,8;AIS ;
20/11/2025 11:16:02;-1,7560766667;46,4623550000;135,0;6,5;22,9;10,7;-108,7;;;7,3;-111,1;285,2;10,5;AIS ;
20/11/2025 11:17:02;-1,7544083333;46,4611766667;133,0;5,9;21,9;10,2;-112,3;21,8;10,6;7,1;-112,1;283,2;9,7;AIS ;
20/11/2025 11:18:02;-1,7528466667;46,4600983333;139,0;4,7;31,9;7,3;-105,7;;;5,5;-104,1;290,1;7,5;Aucune;
20/11/2025 11:19:02;-1,7512966667;46,4590116667;136,0;4,8;30,9;9,1;-104,7;;;6,6;-105,1;289,3;9,3;Aucune;
20/11/2025 11:20:02;-1,7499850000;46,4580250000;137,0;6,0;22,9;6,8;-112,7;;;5,3;-110,1;293,0;6,8;Aucune;
20/11/2025 11:21:02;-1,7485333333;46,4568633333;139,0;5,0;31,5;7,8;-106,0;;;5,8;-105,5;293,6;8,2;Aucune;
20/11/2025 11:22:02;-1,7471400000;46,4558750000;134,0;4,3;31,2;6,9;-102,3;;;5,2;-101,8;287,3;7,1;Aucune;
20/11/2025 11:23:02;-1,7454266667;46,4548233333;129,0;5,5;35,5;7,7;-92,0;;;5,4;-89,5;302,7;9,1;Aucune;
20/11/2025 11:24:02;-1,7439083333;46,4537650000;137,0;4,6;28,2;6,5;-109,7;;;5,1;-107,8;287,3;6,4;Aucune;
20/11/2025 11:25:02;-1,7424083333;46,4526883333;132,0;5,6;34,9;9,1;-95,3;;;6,2;-95,1;299,1;10,4;Aucune;
20/11/2025 11:26:02;-1,7406650000;46,4515650000;131,0;5,6;27,5;8,5;-101,7;;;6,1;-102,5;295,0;9,2;Aucune;
20/11/2025 11:27:02;-1,7390966667;46,4504733333;140,0;4,8;29,9;7,2;-110,0;;;5,5;-108,1;288,1;7,1;Aucune;
20/11/2025 11:28:02;-1,7375150000;46,4494266667;132,0;5,4;29,5;8,3;-101,0;;;6,0;-100,5;295,0;9,0;Aucune;
20/11/2025 11:29:02;-1,7359300000;46,4484333333;133,0;5,3;27,2;7,2;-105,3;23,4;7,4;5,5;-101,8;293,1;7,6;Aucune;
20/11/2025 11:30:02;-1,7343666667;46,4474683333;134,0;4,5;34,2;5,5;-98,0;;;4,4;-96,8;296,1;6,1;Aucune;
